Gene,AUROC,Spearman,MSE,MAE
COL8A1,0.716984634043515,0.39898211930634137,0.4441934608750873,0.5327413
COMP,0.6991390059861325,0.3811305007452608,0.9546686245335473,0.74794126
CORO2A,0.8408665789708568,0.5981801731118455,0.32051196363237167,0.40592897
COX6A1,0.8733781095613474,0.7043488818199183,0.5834116472138299,0.6074901
CPE,0.562989670857076,0.11609025962542328,0.526772571934594,0.60333866
CRABP1,0.5220998361386777,0.018486756391087454,0.03858090243819687,0.08269612
CRACR2B,0.8677696646595456,0.6660399182924751,0.40707651442951626,0.48356125
CRB3,0.8677919144692967,0.6519807072129971,0.26546778943803573,0.37497324
CREB3L1,0.7720225227536157,0.5051880677921012,0.7239619857735105,0.6539514
CRIP1,0.8035481407305204,0.5849833139347803,0.9200393226411607,0.7677229
CRISPLD2,0.6916263371062704,0.38096723106911007,0.5169514682557848,0.5848632
CRYAB,0.7221505042237958,0.42769142183261816,0.43356390794118244,0.5320499
CRYBG1,0.8616733782975152,0.681374528288803,0.38698043094740975,0.49727017
CSE1L,0.8230497968905391,0.5920514965351091,0.29206972817579907,0.41468802
CSRP1,0.8212982167362596,0.6334137751039942,0.6868921518325806,0.6625265
CSTB,0.8347681416845522,0.6359925900814618,0.5945110188590156,0.60312057
CTHRC1,0.7809720187545026,0.5477727957151193,0.6996684670448303,0.6685579
CTSB,0.7934350672397419,0.5809639205254911,1.0004419287045796,0.80316603
CTSD,0.811353001051457,0.5879452024526833,0.8151714305082957,0.71478546
CTSE,0.7115016592408853,0.34470315223151055,0.6664999408854378,0.5347242
CTSH,0.7816577645291479,0.528241939293346,0.7662398417790731,0.6850328
CTSK,0.7073157824212295,0.39854986894269573,0.5501444107956357,0.59602827
CTSS,0.8140679214163763,0.5883987818977194,1.0447534057829115,0.787845
CXCL1,0.7622877182627728,0.43617187502347665,0.37885597513781655,0.4042609
CXCL10,0.7051020464829721,0.3338112251484515,1.399002856678433,0.7802563
CXCL12,0.6745796699483397,0.32536614951121806,0.6057723462581635,0.6173823
CXCL13,0.6882574548506869,0.2575998826961661,0.2412040163245466,0.30300793
CXCL14,0.6490829329716747,0.26447660370224324,0.8797419170538584,0.7222684
CXCL2,0.7161622936615909,0.38209686145234445,0.42673824313614106,0.4856001
CXCL3,0.7962750181483805,0.48911161306078277,0.4979855219523112,0.4801635
CXCL8,0.7277068843641885,0.38440887074652597,0.9755897919336954,0.67925495
CXCL9,0.7011533541535431,0.31946545915474744,1.0518083026011784,0.6912472
CXCR4,0.6991697083009725,0.37568583929813193,0.5319766501585642,0.58553654
CYC1,0.8793479637387701,0.7124321743371603,0.6284615993499756,0.6367705
CYP2S1,0.8207776137054034,0.5214503287427373,0.3421367390288247,0.41163343
CYP3A5,0.8660595819190832,0.6635242925137832,0.306640421350797,0.4139799
CYP51A1,0.8258041451816884,0.590087666940665,0.4201868722836177,0.47426865
CYSTM1,0.8653488862990509,0.6766209624942822,0.5385052098168267,0.5866304
DBI,0.8476642713297128,0.6679721792114209,0.47954732676347095,0.55441487
DCN,0.7456331033780753,0.48560729563954513,0.8802816404236687,0.7439564
DCTPP1,0.8525402444226047,0.6584365857004548,0.38224954571988845,0.4774324
DDAH1,0.8602429117932547,0.6800771420485031,0.41623446510897744,0.51115733
DDIT4,0.7832496896009787,0.5546340322163615,0.7704131801923116,0.6997135
DDR1,0.88067223234104,0.7111693390598831,0.7083962642484241,0.6402395
DDX21,0.8390790051684185,0.6330559033346191,0.41770193146334755,0.51232046
DEGS2,0.835005394462736,0.5698225262374943,0.3557852465245459,0.4151995
DEPP1,0.6346749099128575,0.2689513337707154,0.5182760424084134,0.5824334
DERL3,0.6743558111282228,0.25813331999176026,0.18438666479455101,0.30292553
DES,0.7203398491781481,0.42646122769558864,1.3017071154382494,0.9119055
DGAT1,0.8570341047300196,0.6727748030603231,0.4248596678177516,0.52003896
DHCR24,0.8470820037292486,0.6411131652302805,0.5015436559915543,0.5268206
DKC1,0.854113502011837,0.6482642692447725,0.4577275928523805,0.5243221
DKK3,0.7076534100058036,0.39543949825873853,0.5484630780087577,0.5935769
DLG3,0.8507904123208377,0.6457103066213269,0.3165162718958325,0.43445042
DLGAP5,0.8268306078405568,0.5201376894207662,0.2476550398601426,0.33616173
DMKN,0.8056135611045363,0.5217862103767832,0.3170953616499901,0.40164608
DNM2,0.894854265511642,0.741679908263785,0.5132191379865011,0.573244
DPEP1,0.7013148743007998,0.32146007939802507,0.47576820188098484,0.49002096
DPYSL3,0.7440833983734542,0.47775669594824205,0.4599904153082106,0.5481539
DSC2,0.8493511064793282,0.6525839676019518,0.3992835779984792,0.481287
DSG2,0.9013673474531606,0.7536339624852055,0.5299667186207242,0.5594579
DSP,0.9131485082805926,0.7684265955286161,0.7320195204681821,0.6771295
DSTN,0.8245293711463649,0.6316694252298025,0.7056622637642754,0.67196643
DUSP1,0.6660973332041746,0.340603016287136,0.8475463026099734,0.74768144
EBNA1BP2,0.8465459399904,0.6478097003448534,0.37313518093691933,0.4847628
EBP,0.843438000505391,0.6380442634791741,0.45509911411338383,0.50878733
ECT2,0.8452823915861382,0.6245020011916261,0.4347548137108485,0.48221943
EFEMP1,0.6791605828663924,0.34173110536957585,0.5506444705857171,0.5957632
EFNA1,0.8420069376754532,0.6406785496547853,0.5072130958239237,0.54478204
EFNB1,0.8495547251047534,0.6497018995419083,0.3344922926690843,0.45609242
EFNB2,0.853671458933953,0.6520052867316513,0.46190797289212543,0.5426344
EGLN3,0.7768682152683276,0.4935506449885732,0.41168880628214943,0.48519742
EGR1,0.662717877027151,0.325474439484437,1.1587716605928209,0.8761512
EHD2,0.6723054623858414,0.355904261247967,0.48840485678778756,0.5639188
EHF,0.8940161321420305,0.7392632277761388,0.5310934219095442,0.563732
EIF4EBP1,0.821205364657943,0.5897479121611598,0.3794226547082265,0.48358577
ELF3,0.9220585553299839,0.7730941262301948,0.6637864145967696,0.65177035
ELMO3,0.86287576474109,0.6461336056863363,0.28377022842566174,0.40100378
ELN,0.6898192903212412,0.3588184080551055,0.47677366932233173,0.55651003
EMILIN1,0.719692682759583,0.43722367833666936,0.5180268949932523,0.5800822
EMP1,0.6918164434350801,0.39107967476794453,0.6010580427116818,0.6170465
ENAH,0.7553444863261506,0.5070418034321105,0.4561541974544525,0.5428909
ENC1,0.8267386247232005,0.6240451781022504,0.6542530424065061,0.6371553
ENO1,0.8720951907603571,0.6969315275123535,0.602371871471405,0.6105979
ENTPD6,0.8729096565601739,0.7005286529770671,0.4631214323971007,0.54373246
EPAS1,0.7134181686244738,0.41708634700200015,0.6004168225659264,0.6244541
EPB41L4B,0.8652716861434616,0.6716979467592215,0.5824023120933108,0.5813668
EPCAM,0.9156317564732969,0.781469791956928,1.2671672768063016,0.9087775
EPHA2,0.8211481553694386,0.5917753862017449,0.34165771802266437,0.44163582
EPHB2,0.8228051382382969,0.5887939452978853,0.41157516340414685,0.48823723
EPHB3,0.8414984570650695,0.6299259466068631,0.5677927434444427,0.56072974
EPPK1,0.8521251790978092,0.650921541214196,0.48134958578480613,0.53655267
EPS8L2,0.8765530512669836,0.7171744812772132,0.4327489535013835,0.5172415
EPS8L3,0.8969617231658487,0.7245232390904479,0.38617975182003444,0.47288793
EPSTI1,0.8256020754701936,0.6134275811487857,0.47969184815883636,0.5493524
ERBB2,0.8531716009630176,0.6740657904506061,0.4374946057796478,0.51373893
ERBB3,0.8813170256606542,0.7033902454518318,0.5295279290941026,0.5544588
ERN2,0.8769732598388075,0.6829710686826912,0.40611960656113094,0.4712649
ERO1A,0.8573515247683646,0.6612565267072801,0.561700744761361,0.58723557
ERRFI1,0.7638812682976267,0.5005996017084503,0.5047651562425826,0.561919
ESRP1,0.8969124705174782,0.7336873731256623,0.4064199841684765,0.48337448
ESRP2,0.8752371744210552,0.6609097947079541,0.33030836118592155,0.42232427
